10.1016/j.cogsys.2012.06.003,Emergence in stigmergic and complex adaptive systems: A formal discrete event systems perspective,"Abstract: Complex systems have been studied by researchers from every discipline: biology, chemistry, physics, sociology, mathematics and economics and more. Depending upon the discipline, complex systems theory has accrued many flavors. We are after a formal representation, a model that can predict the outcome of a complex adaptive system (CAS). In this article, we look at the nature of complexity, then provide a perspective based on discrete event systems (DEVS) theory. We pin down many of the shared features between CAS and artificial systems. We begin with an overview of network science showing how adaptive behavior in these scale-free networks can lead to emergence through stigmergy in CAS. We also address how both self-organization and emergence interplay in a CAS. We then build a case for the view that stigmergic systems are a special case of CAS. We then discuss DEVS levels of systems specifications and present the dynamic structure extensions of DEVS formalism that lends itself to a study of CAS and in turn, stigmergy. Finally, we address the shortcomings and the limitation of current DEVS extensions and propose the required augmentation to model stigmergy and CAS. (C) 2012 Elsevier B.V. All rights reserved. "," Computer Science, Artificial Intelligence; Neurosciences; Psychology, Experimental "
10.1016/j.phytochem.2012.07.007,RIKEN tandem mass spectral database (ReSpect) for phytochemicals: A plant-specific MS/MS-based data resource and database,"Abstract: The fragment pattern analysis of tandem mass spectrometry (MS/MS) has long been used for the structural characterization of metabolites. The construction of a plant-specific MS/MS data resource and database will enable complex phytochemical structures to be narrowed down to candidate structures. Therefore, a web-based database of MS/MS data pertaining to phytochemicals was developed and named ReSpect (RIKEN tandem mass spectral database). Of the 3595 metabolites in ReSpect, 76% were derived from 163 literature reports, whereas the rest was obtained from authentic standards. As a main web application of ReSpect, a fragment search was established based on only the m/z values of query data and records. The confidence levels of the annotations were managed using the MS/MS fragmentation association rule, which is an algorithm for discovering common fragmentations in MS/MS data. Using this data resource and database, a case study was conducted for the annotation of untargeted MS/MS data that were selected after quantitative trait locus analysis of the accessions (Gifu and Miyakojima) of a model legume Lotus japonicus. In the case study, unknown metabolites were successfully narrowed down to putative structures in the website. (c) 2012 Elsevier Ltd. All rights reserved. ", Biochemistry & Molecular Biology; Plant Sciences 
10.1111/j.1365-313X.2012.05064.x,Identification of a metabolic bottleneck for cold acclimation in Arabidopsis thaliana,"Abstract: Central carbohydrate metabolism of Arabidopsis thaliana is known to play a crucial role during cold acclimation and the acquisition of freezing tolerance. During cold exposure, many carbohydrates accumulate and a new metabolic homeostasis evolves. In the present study, we analyse the diurnal dynamics of carbohydrate homeostasis before and after cold exposure in three natural accessions showing distinct cold acclimation capacity. Diurnal dynamics of soluble carbohydrates were found to be significantly different in cold-sensitive and cold-tolerant accessions. Although experimentally determined maximum turnover rates for sucrose phosphate synthase in cold-acclimated leaves were higher for cold-tolerant accessions, model simulations of diurnal carbohydrate dynamics revealed similar fluxes. This implied a significantly higher capacity for sucrose synthesis in cold-tolerant than cold-sensitive accessions. Based on this implication resulting from mathematical model simulation, a critical temperature for sucrose synthesis was calculated using the Arrhenius equation and experimentally validated in the cold-sensitive accession C24. At the critical temperature suggested by model simulation, an imbalance in photosynthetic carbon fixation ultimately resulting in oxidative stress was observed. It is therefore concluded that metabolic capacities at least in part determine the ability of accessions of Arabidopsis thaliana to cope with changes in environmental conditions. ", Plant Sciences 
10.1016/j.plantsci.2012.06.015,Kinetic transcriptomic approach revealed metabolic pathways and genotoxic-related changes implied in the Arabidopsis response to ionising radiations,"Abstract: Plants exposed to ionising radiation (IR) have to face direct and indirect (oxidative stress) deleterious effects whose intensity depends on the dose applied and led to differential genome regulation. Transcriptomic analyses were conducted with CATMA microarray technology on Arabidopsis thaliana plantlets, 2 and 26 h after exposure to the IR doses 10 Gy and 40 Gy. 10 Gy treatment seemed to enhance antioxidative compound biosynthetic pathways whereas the 40 Gy dose up-regulated ROS-scavenging enzyme genes. Transcriptomic data also highlighted a differential regulation of chloroplast constituent genes depending on the IR dose, 10 Gy stimulating and 40 Gy down-regulating. This probable 40 Gy decrease of photosynthesis could help for the limitation of ROS production and may be coupled with programmed cell death (PCD)/senescence phenomena. Comparisons with previous transcriptomic studies on plants exposed to a 100 Gy dose revealed 60 dose-dependent up-regulated genes, including notably cell cycle checkpoints to allow DNA repairing phenomena. Furthermore, the alteration of some cellular structure related gene expression corroborated a probable mitotic arrest after 40 Gy. Finally, numerous heat-shock protein and chaperonin genes, known to protect proteins against stress-dependent dysfunction, were up-regulated after IR exposure. (C) 2012 Elsevier Ireland Ltd. All rights reserved. ", Biochemistry & Molecular Biology; Plant Sciences 
10.1017/S0032247412000216,Dr. George Murray Levick (1876-1956): unpublished notes on the sexual habits of the Adelie penguin,"Abstract: A previously unpublished four-page pamphlet by Dr. George Murray Levick R.N. (1876-1956) on the 'Sexual habits of the Adelie penguin' was recently rediscovered at the Natural History Museum (NHM) at Tring. It was printed in 1915 but declined for publication with the official expedition reports. The account, based upon Levick's detailed field observations at Cape Adare (71 degrees 18'S, 170 degrees 09'E) during the course of the British Antarctic (Terra Nova) Expedition 1910, commented on frequency of sexual activity, autoerotic behaviour, and seemingly aberrant behaviour of young unpaired males and females including necrophilia, sexual coercion, sexual and physical abuse of chicks, non-procreative sex and homosexual behaviour. His observations were however accurate, valid and, with the benefit of hindsight, deserving of publication. Here we publish the pamphlet in its entirety, reinterpret selected observations and comment on its significance as a forgotten work by the pioneer of research on Adelie penguin Pygoscelis adeliae (Hombron and Jacquinot 1841) biology. ", Ecology; Environmental Sciences 
10.1016/j.prostaglandins.2012.04.003,Targeted exchange of an expression cassette encoding cyclooxygenase-2 at the Ptgs1 locus,"Abstract: Defining the multi-faceted roles of prostaglandins has been facilitated by studying mice with manipulated expression of the two enzymes encoding cyclooxygenase (COX) via gene targeting, with either knocked down expression of COX-1 or COX-2, a knocked-in COX-2 active site mutation and exchange of COX isoforms by insertion of a cassette encoding COX-1 into the COX-2 (Ptgs2) gene to create COX-1 > COX-2 mice. Here, we sought to extend these studies by creating a new induced mutant strain with manipulated COX expression. We carried out gene targeting at the Ptgs1 locus to knock-in an expression cassette encoding COX-2 under Ptgs1 regulatory elements in a manner analogous used in COX-1 > COX-2 targeting. While successful gene targeting at the Ptgsl locus was achieved, the strategy did not yield a ""basal"" increase of COX-2 under Ptgsl gene regulatory control in various cells and tissues from COX-2>COX-1 mice but rather resulted in a Pigs) null allele. Possible explanations as to why this strategy was unsuccessful include non-functionality of the hybrid signal peptide and aberrant transcript processing. Since a similar strategy had previously worked (i.e. COX-1 cDNA knocked-in to the Ptgs2 locus; COX-1 > COX-2 mice) interpretations of our findings on murine COX biology and gene targeting are discussed. (C) 2012 Elsevier Inc. All rights reserved. ", Biochemistry & Molecular Biology; Cell Biology 
10.1007/s00709-011-0338-6,Organ-specific rates of cellular respiration in developing sunflower seedlings and their bearing on metabolic scaling theory,"Abstract: Fifty years ago Max Kleiber described what has become known as the ""mouse-to-elephant"" curve, i.e., a log-log plot of basal metabolic rate versus body mass. From these data, ""Kleiber's 3/4 law"" was deduced, which states that metabolic activity scales as the three fourths-power of body mass. However, for reasons unknown so far, no such ""universal scaling law"" has been discovered for land plants (embryophytes). Here, we report that the metabolic rates of four different organs (cotyledons, cotyledonary hook, hypocotyl, and roots) of developing sunflower (Helianthus annuus L.) seedlings grown in darkness (skotomorphogenesis) and in white light (photomorphogenesis) differ by a factor of 2 to 5 and are largely independent of light treatment. The organ-specific respiration rate (oxygen uptake per minute per gram of fresh mass) of the apical hook, which is composed of cells with densely packaged cytoplasm, is much higher than that of the hypocotyl, an organ that contains vacuolated cells. Data for cell length, cell density, and DNA content reveal that (1) hook opening in white light is caused by a stimulation of cell elongation on the inside of the curved organ, (2) respiration, cell density and DNA content are much higher in the hook than in the stem, and (3) organ-specific respiration rates and the DNA contents of tissues are statistically correlated. We conclude that, due to the heterogeneity of the plant body caused by the vacuolization of the cells, Kleiber's law, which was deduced using mammals as a model system, cannot be applied to embryophytes. In plants, this rule may reflect scaling phenomena at the level of the metabolically active protoplasmic contents of the cells. ", Plant Sciences; Cell Biology 
10.1007/s00709-012-0406-6,"Eduard Strasburger (1844-1912): founder of modern plant cell biology
","Abstract: Eduard Strasburger, director of the Botany Institute and the Botanical Garden at the University of Bonn from 1881 to 1912, was one of the most admirable scientists in the field of plant biology, not just as the founder of modern plant cell biology but in addition as an excellent teacher who strongly believed in ""education through science."" He contributed to plant cell biology by discovering the discrete stages of karyokinesis and cytokinesis in algae and higher plants, describing cytoplasmic streaming in different systems, and reporting on the growth of the pollen tube into the embryo sac and guidance of the tube by synergides. Strasburger raised many problems which are hot spots in recent plant cell biology, e.g., structure and function of the plasmodesmata in relation to phloem loading (Strasburger cells) and signaling, mechanisms of cell plate formation, vesicle trafficking as a basis for most important developmental processes, and signaling related to fertilization. ", Plant Sciences; Cell Biology 
10.1007/s00709-012-0407-5,Jan Evangelista Purkyn/Purkinje (1787-1869) and the establishment of cellular physiology-Wrocaw/Breslau as a central European cradle for a new science,"Abstract: Being a professor of physiology in Wrocaw/Breslau till the half of nineteenth century, Jan Evangelista Purkyn/Purkinje made, along with his students, many crucial discoveries combining original experimental approaches with new advanced microscopy and histology techniques. Here, he established first Institute of Physiology worldwide and created a framework for the new science of cellular physiology. With his work, he not only substantially contributed to the establishment of cellular and protoplasmic concepts in biology but represented a rare type of Central European scholar by bridging communities separated by ethnicity and language. ", Plant Sciences; Cell Biology 
10.1088/0034-4885/75/10/106601,DNA confinement in nanochannels: physics and biological applications,"Abstract: DNA is the central storage molecule of genetic information in the cell, and reading that information is a central problem in biology. While sequencing technology has made enormous advances over the past decade, there is growing interest in platforms that can readout genetic information directly from long single DNA molecules, with the ultimate goal of single-cell, single-genome analysis. Such a capability would obviate the need for ensemble averaging over heterogeneous cellular populations and eliminate uncertainties introduced by cloning and molecular amplification steps (thus enabling direct assessment of the genome in its native state). In this review, we will discuss how the information contained in genomic-length single DNA molecules can be accessed via physical confinement in nanochannels. Due to self-avoidance interactions, DNA molecules will stretch out when confined in nanochannels, creating a linear unscrolling of the genome along the channel for analysis. We will first review the fundamental physics of DNA nanochannel confinement-including the effect of varying ionic strength-and then discuss recent applications of these systems to genomic mapping. Apart from the intense biological interest in extracting linear sequence information from elongated DNA molecules, from a physics view these systems are fascinating as they enable probing of single-molecule conformation in environments with dimensions that intersect key physical length-scales in the 1 nm to 100 mu m range. "," Physics, Multidisciplinary "
10.1088/0034-4885/75/10/102601,"X-ray lasers for structural and dynamic biology
","Abstract: Research opportunities and techniques are reviewed for the application of hard x-ray pulsed free-electron lasers (XFEL) to structural biology. These include the imaging of protein nanocrystals, single particles such as viruses, pump-probe experiments for time-resolved nanocrystallography, and snapshot wide-angle x-ray scattering (WAXS) from molecules in solution. The use of femtosecond exposure times, rather than freezing of samples, as a means of minimizing radiation damage is shown to open up new opportunities for the molecular imaging of biochemical reactions at room temperature in solution. This is possible using a 'diffract-and-destroy' mode in which the incident pulse terminates before radiation damage begins. Methods for delivering hundreds of hydrated bioparticles per second (in random orientations) to a pulsed x-ray beam are described. New data analysis approaches are outlined for the correlated fluctuations in fast WAXS, for protein nanocrystals just a few molecules on a side, and for the continuous x-ray scattering from a single virus. Methods for determining the orientation of a molecule from its diffraction pattern are reviewed. Methods for the preparation of protein nanocrystals are also reviewed. New opportunities for solving the phase problem for XFEL data are outlined. A summary of the latest results is given, which now extend to atomic resolution for nanocrystals. Possibilities for time-resolved chemistry using fast WAXS (solution scattering) from mixtures is reviewed, toward the general goal of making molecular movies of biochemical processes. "," Physics, Multidisciplinary "
10.1016/j.rvsc.2011.12.019,Occurrence of Giardia duodenalis infection in chinchillas (Chincilla lanigera) from Italian breeding facilities,"Abstract: The present work investigated the occurrence of Giardia infection in Chinchilla lanigera reared in three Italian breeding facilities and determined their role as potential zoonotic reservoir. One hundred and four fecal samples were tested for the presence of Giardia spp. cysts using a Direct Fluorescent Assay (DFA). A high positivity rate (39.4%) was found despite all animals were asymptomatic at the time of sampling. Thirty-one positive samples were genetically characterized by sequence analysis of the ITS1-5.8S-ITS2 region of the Giardia ribosomal DNA. Assemblages B (29 isolates) and C (two isolates) were identified. These results showed that Giardia infection can be common in chinchillas, thus spurring further molecular epizootiological studies of the infection to assess the zoonotic potential or host specificity of their isolates, to determine the source of infections, to identify the routes of transmission, and to control the infection among animal populations. (c) 2011 Elsevier Ltd. All rights reserved. ", Veterinary Sciences 
10.1016/j.rvsc.2011.09.019,Does orchiectomy enhance the immune-stimulatory effects of melatonin during experimental Chagas' disease?,"Abstract: Melatonin has been reported to play a fundamental role in T-cell immunoregulation. Control of Trypanosome cruzi parasitism during the acute phase of infection is considered to be critically dependent on direct macrophage activation by cytokines. The aim of this work was to evaluate the influence of exogenous melatonin treatment and the influences exerted by sexual hormones during the acute phase of the experimental Chagas' disease in rats. With melatonin treatment, orchiectomized animals (CMOR and IMOR) displayed the highest concentrations of IFN-gamma and TNF-alpha. On the 7th day post-infection, untreated and treated orchiectomized animals (IOR and IMOR) showed an enhanced number of peritoneal macrophages. Nitric oxide levels were also increased in untreated and treated orchiectomized (IOR and IMOR) when compared to the other groups, with or without LPS. Our data suggest that melatonin therapy associated with orchiectomy induced a stimulating effect on the immune response to the parasite. (c) 2012 Published by Elsevier Ltd. ", Veterinary Sciences 
10.1016/j.rvsc.2011.12.016,Vaccinia viruses isolated from skin infection in horses produced cutaneous and systemic disease in experimentally infected rabbits,"Abstract: The susceptibility of rabbits to two isolates of Vaccinia virus (VACV) recovered from cutaneous disease in horses in Southern Brazil was investigated. Rabbits were inoculated in the ear skin with both VACV isolates. either in single or mixed infection. All inoculated animals presented local skin lesions characterized by hyperaemia, papules, vesicles, pustules and ulcers. Infectious virus was detected in the lungs and intestine of rabbits that died during acute disease. Histological examination of the skin revealed changes characteristic of those associated with members of the genus Orthopoxvirus. These results demonstrate that rabbits develop skin disease accompanied by systemic signs upon intradermal inoculation of these two equine VACV isolates, either alone or in combination, opening the way for using rabbits to study selected aspects of the biology and pathogenesis of VACV infection. (C) 2011 Elsevier Ltd. All rights reserved. ", Veterinary Sciences 
10.1111/j.1440-1843.2012.02173.x,Emerging evidence of epithelial-to-mesenchymal transition in lung carcinogenesis,"Abstract: The epithelial-to-mesenchymal transition (EMT) is a developmental programme that regulates embryonic morphogenesis and involves significant morphological and molecular changes in cells. Experimental models have revealed that EMT also contributes to various malignant features of cancer cells, including motile, invasive, anti-apoptotic and stem-like phenotypes. Clinically, correlative studies have indicated that mesenchymal-like features of tumour cells are associated with poor tumour differentiation as well as worse patient prognosis. Nevertheless, due to its transitory nature, demonstration of an actual occurrence of EMT during human carcinogenesis is challenging, and most of the evidence to date has been limited to breast and colorectal cancers. However, recent studies suggest that EMT may occur during lung cancer development, although such evidence is still limited. We propose three approaches for obtaining direct evidence of EMT in human cancers and use these criteria to review the available data. We suggest that multiple intrinsic and extrinsic factors cooperatively induce EMT in lung cancer. Intrinsic factors include oncogenic genetic changes such as mutant K-RAS. Extrinsic factors are associated with a tumour microenvironment that is inflammatory and hypoxic. The induction of EMT is primarily mediated by various EMT-inducing transcription factors that suppress E-cadherin expression, including SLUG and ZEB1. miR-200 family expression can reverse EMT by suppressing EMT- inducing transcription factors. Obviously, more data demonstrating the clinical relevance of EMT in lung cancer are required, and further elucidation of how EMT is regulated in lung cancer will enable us to develop novel therapeutics that specifically target molecules with critical roles in EMT. ", Respiratory System 
10.1261/rna.034538.112,Lin28-mediated control of let-7 microRNA expression by alternative TUTases Zcchc11 (TUT4) and Zcchc6 (TUT7),"Abstract: The pluripotency factor Lin28 recruits a 3' terminal uridylyl transferase (TUTase) to selectively block let-7 microRNA biogenesis in undifferentiated cells. Zcchc11 (TUTase4/TUT4) was previously identified as an enzyme responsible for Lin28-mediated pre-let-7 uridylation and control of let-7 expression. Here we investigate the protein and RNA determinants for this interaction. Biochemical dissection and reconstitution assays reveal the TUTase domains necessary and sufficient for Lin28-enhanced pre-let-7 uridylation. A single C2H2-type zinc finger domain of Zcchc11 was found to be responsible for the functional interaction with Lin28. We identify Zcchc6 (TUTase7) as an alternative TUTase that functions with Lin28 in vitro, and accordingly, we find Zcchc11 and Zcchc6 redundantly control let-7 biogenesis in embryonic stem cells. Our study indicates that Lin28 uses two different TUTases to control let-7 expression and has important implications for stem cell biology as well as cancer. ", Biochemistry & Molecular Biology 
10.1055/s-0031-1290460,The Chemistry and Biology of Nakiterpiosin - C-nor-D-Homosteroids,"Abstract: Isolated from the sponge Terpios hoshinota that causes coral black disease, nakiterpiosin was the first C-nor-D-homosteroid discovered from a marine source. We provide in this account an overview of the chemistry and biology of this natural product. We also include a short history of the synthesis of C-nor-D-homosteroids and the results of some unpublished biological studies of nakiterpiosin. "," Chemistry, Organic "
10.1007/s13770-012-0360-6,Perspective of bioartificial uterus as gynecological regenerative medicine,"Abstract: The fields of gynecology, organ transplantation, tissue engineering and regenerative medicine are in the process of convergence, promising the development of novel treatments for infertility highlighted by the advent of the bioartificial uterus. The advances made with in vitro fertilization, immunology, and stem cell biology have reopened dialogue regarding utilizing tissue engineering to create replacement reproductive organs for patients who do not have the ability to conceive naturally on their own. In this review, the possibility of creating a bioartificial uterus that can sustain gestation will be addressed with regards to the progenitor cells, various types of stem cells, the organ's scaffolding and vasculature engineering, issues pertaining to the development of bioartificial uterus transplantation experimental model, as well as the long-term ethical implications that the bioartificial uterus poses for individuals and society as a whole. "," Cell & Tissue Engineering; Engineering, Biomedical "
10.1016/j.trac.2012.07.002,Applications of nanomaterials in enantioseparation and related techniques,"Abstract: Chirality is an important, universal phenomenon in nature. For the in-depth study of pharmacology and biology, efficient enantioselective technologies are indispensable. Nanomaterials with large surface-to-volume ratio and specific physical and chemical properties have demonstrated great potential in chiral discrimination. Many publications show that utilization of nanomaterials could improve the selectivity, the stability and the efficiency of enantioseparation.
This review summarizes the applications of various enantioselective nanomaterials, including mesoporous silica, organic polymers, metal-organic frameworks, metal nanomaterials, magnetic nanomaterials, carbon nanotubes and well-oriented chiral nanolayers. After proper preparation and modification, these functionalized nanomaterials are effective for chiral separation through their specific enantioselective adsorption, especially when they are used as stationary or pseudo-stationary phases in chiral chromatographic separation, such as thin-layer chromatography, high-performance liquid chromatography, gas chromatography and capillary electrophoresis. (c) 2012 Elsevier Ltd. All rights reserved. "," Chemistry, Analytical "
10.1016/j.ultrasmedbio.2012.06.004,CLINICAL APPLICATION OF EXTRACORPOREAL SHOCK WAVE THERAPY IN ORTHOPEDICS: FOCUSED VERSUS UNFOCUSED SHOCK WAVES,"Abstract: For the past decade extracorporeal shock wave therapy has been applied to a wide range of musculoskeletal disorders. The many promising results and the introduction of shock wave generators that are less expensive and easier to handle has added to the growing interest. Based on their nature of propagation, shock waves can be divided into two types: focused and unfocused. Although several physical differences between these different types of shock waves have been described, very little is known about the clinical outcome using these different modalities. The aim of the present review is to investigate differences in outcome in select orthopaedic applications using focused and unfocused shock waves. (E-mail: foldager@ki.au.dk) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.05.019,ULTRASOUND FINDINGS OF PAPILLARY THYROID MICROCARCINOMA: A REVIEW OF 113 CONSECUTIVE CASES WITH HISTOPATHOLOGIC CORRELATION,"Abstract: Papillary thyroid microcarcinoma (PTMC) is a malignant thyroid tumor of less than 1 cm in size. Ultrasound (US) is the preferred imaging modality for PTMC. This study retrospectively evaluated the US results from 113 consecutive cases of PTMC with 127 nodules and correlated the results with the histopathologic findings. The results showed none of the PTMC nodules had a cystic element. Half of the PTMC nodules had a well-defined boundary and the remaining half had an ill-defined boundary. A percent (6.3%) of the nodules had a halo sign. Microcalcification was present in approximately half of the PTMC nodules. The cancerous tissue with a papillary structure was hypoechogenic and the amount of fibrous stroma determined whether the nodule echogenicity was heterogeneous or homogeneous. Heterogeneous echogenicity was associated with a fibrous stroma proportion of >20%. Only PTMC nodules with predominantly follicular structures containing a large proportion of colloid demonstrated isoechogenicity. Well-defined boundaries on US were associated with well-defined histologic margins, with or without the presence of an intact fibrous pseudo-capsule. A halo sign with a well-defined boundary detected by US was associated with the presence of an intact fibrous pseudo-capsule. Half of the PTMC nodules with ill-defined boundaries exhibited infiltration into the surrounding thyroid tissue, while the remaining half of the PTMC nodules with ill-defined boundaries on US presented irregular nodule margins by histology, rather than nodule infiltration. Psammoma bodies detected at a frequency >= 5 per x200 microscopic field of view were detectable on US as microcalcifications. (E-mail: zhouchunwu@hotmail.com) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.06.006,IS A VISIBLE (HYPOECHOIC) LESION AT BIOPSY AN INDEPENDENT PREDICTOR OF PROSTATE CANCER OUTCOME?,"Abstract: The aim of this study was to evaluate the prognostic implications of the sonographic appearance of prostate cancers. All patients with biopsy-proven prostate cancer between January 2003 and July 2004 (and at least 5 years of follow-up) were selected retrospectively. After exclusions, 101 patients constituted our study population and were divided into isoechoic (or nonvisible) and hypoechoic (or visible) lesion. The clinical outcomes of these two groups were compared. The outcomes for the two groups were significantly different (p < 0.01). For nonvisible lesions, 37 of the 41 patients (90.2%) had no disease relapse and 2 (4.9%) had biochemical failure. For the visible lesions, 37 of the 60 (61.6%) patients were free of recurrence, 7 (11.7%) had systemic metastases and 10 (16.7%) died of complications related to prostate cancer. Our data show that patients with nonvisible prostate cancer had significantly better outcomes than patients with visible lesions during a five-year period of evaluation. (E-mail: fmuglia@fmrp.usp.br) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.04.021,RECOGNITION OF FINGER FLEXION MOTION FROM ULTRASOUND IMAGE: A FEASIBILITY STUDY,"Abstract: Muscle contraction results in structural and morphologic changes of the related muscle. Therefore, finger flexion can be monitored from measurements of these morphologic changes. We used ultrasound imaging to record muscle activities during finger flexion and extracted features to discriminate different fingers' flexions using a support vector machine (SVM). Registration of ultrasound images before and after finger flexion was performed to generate a deformation field, from which angle features and wavelet-based features were extracted. The SVM was then used to classify the motions of different fingers. The experimental results showed that the overall mean recognition accuracy was 94.05% +/- 4.10%, with the highest for the thumb (97%) and the lowest for the ring finger (92%) and the mean F value was 0.94 +/- 0.02, indicating high accuracy and reliability of this method. The results suggest that the proposed method has the potential to be used as an alternative method of surface electromyography in differentiating the motions of different fingers. (E-mail: junshi@staff.shu.edu.cn) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.05.004,"LONGITUDINAL DISPLACEMENT OF THE CAROTID WALL AND CARDIOVASCULAR RISK FACTORS: ASSOCIATIONS WITH AGING, ADIPOSITY, BLOOD PRESSURE AND PERIODONTAL DISEASE INDEPENDENT OF CROSS-SECTIONAL DISTENSIBILITY AND INTIMA-MEDIA THICKNESS","Abstract: The recently discovered longitudinal displacement of the common carotid arterial wall (i.e., the motion along the same plane as the blood flow), may be associated with incident cardiovascular events and represents a novel and relevant clinical information. At present, there have only been a few studies that have been conducted to investigate this longitudinal movement. We propose here a method to assess noninvasively the wall bi-dimensional (two-dimensional [2-D], cross-sectional and longitudinal) motion and present an original approach that combines a robust speckle tracking scheme to guidance by minimal path contours segmentation. Our method is well suited to large clinical population studies as it does not necessitate strong imaging prerequisites. The aim of this study is to describe the association between the longitudinal displacement of the carotid arterial wall and cardiovascular risk factors, among which periodontal disease. Some 126 Indigenous Australians with periodontal disease, an emerging risk factor, and 27 healthy age-and sex-matched non-indigenous control subjects had high-resolution ultrasound scans of the common carotid artery. Carotid intima-media thickness and arterial wall 2-D motion were then assessed using our method in ultrasound B-mode sequences. Carotid longitudinal displacement was markedly lower in the periodontal disease group than the control group (geometric mean (IQR): 0.15 mm (0.13) vs. 0.42 mm (0.30), respectively; p < 0.0001), independent of cardiovascular risk factors, cross-sectional distensibility and carotid intima-media thickness (p < 0.0001). A multivariable model indicated that the strongest correlates of carotid longitudinal displacement in adults with periodontal disease were age (beta-coefficient -.235, p = .03), waist (beta-coefficient -.357,p = 0.001), and pulse pressure (beta-coefficient = .175, p = 0.07), independent of other cardiovascular risk factors, cross-sectional distensibility and pulse wave velocity. Carotid longitudinal displacement, estimated with our approach, is impaired in the periodontal disease group, independent of established cardiovascular risk factors and other noninvasive measures of arterial stiffness, and may represent an important marker of cardiovascular risk. (E-mail: guillaume.zahnd@creatis.insa-lyon.fr or michael.skilton@sydney.edu.au) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.04.015,IMPROVED ANTI-TUMOR EFFECT OF LIPOSOMAL DOXORUBICIN AFTER TARGETED BLOOD-BRAIN BARRIER DISRUPTION BY MRI-GUIDED FOCUSED ULTRASOUND IN RAT GLIOMA,"Abstract: The blood-brain barrier (BBB) inhibits the entry of the majority of chemotherapeutic agents into the brain. Previous studies have illustrated the feasibility of drug delivery across the BBB using focused ultrasound (FUS) and microbubbles. Here, we investigated the effect of FUS-enhanced delivery of doxorubicin on survival in rats with and 9L gliosarcoma cells inoculated in the brain. Each rat received either: (1) no treatment (control; N = 11), (2) FUS only (N = 9), (3) IV liposomal doxorubicin (DOX only; N = 17), or (4) FUS with concurrent IV injections of liposomal doxorubicin (FUS+DOX; N = 20). Post-treatment by magnetic resonance imaging (MRI) showed that FUS+DOX reduced tumor growth compared with DOX only. Further, we observed a modest but significant increase in median survival time after a single treatment FUS+DOX treatment (p = 50.0007), whereas neither DOX nor FUS had any significant impact on survival on its own. These results suggest that combined ultrasound-mediated BBB disruption may significantly increase the antineoplastic efficacy of liposomal doxorubicin in the brain. (E-mail: njm@bwh.harvard.edu) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
10.1016/j.ultrasmedbio.2012.06.005,LOW-INTENSITY PULSED ULTRASOUND INHIBITS MESSENGER RNA EXPRESSION OF MATRIX METALLOPROTEINASE-13 INDUCED BY INTERLEUKIN-1 beta IN CHONDROCYTES IN AN INTENSITY-DEPENDENT MANNER,"Abstract: The effect of low-intensity pulsed ultrasound (LIPUS) on articular cartilage metabolism has been characterized. However, the effect of LIPUS intensity on articular cartilage degradation factors remains unknown. This study aimed to investigate the immediate effect of LIPUS at several intensities on cultured chondrocytes treated with interleukin-1 beta (IL-1 beta) to induce an inflammatory response and on articular cartilage explants. Cultured chondrocytes and articular cartilage explants were treated by LIPUS at intensities of 0, 7.5, 30 and 120 mW/cm(2) or 0, 27 and 67 mW/cm(2), respectively. mRNA analysis revealed that LIPUS inhibited induction of MMP13 mRNA expression by 100 pg/mL IL-1 beta in cultured chondrocytes in an intensity-dependent manner. LIPUS also inhibited MMP13 and MMP1 mRNA expression in articular cartilage explants. Our results indicate that LIPUS may potentially protect articular cartilage by inhibiting MMP mRNA expression in an intensity-dependent manner and should thus be considered a useful candidate for daily treatment of OA. (E-mail: kuro@hs.med.kyoto-u.ac.jp) (c) 2012 World Federation for Ultrasound in Medicine & Biology. "," Acoustics; Radiology, Nuclear Medicine & Medical Imaging "
