10.1007/s11033-012-1967-3,Molecular cloning and characterization of an IKK homologue from amphioxus (Branchiostoma belcheri),"Abstract: The I kappa B kinase (IKK) plays a crucial role in activation of the transcription factor nuclear factor kappa B (NF-kappa B) by phosphorylating the Inhibitory of NF-kappa B (I kappa B), which triggers the subsequent polyubiquitylation and degradation of I kappa B alpha through the 26S proteasome. In this study, we reported the cloning of an IKK homologue cDNA (designated as AmphiIKK) from amphioxus, Branchiostoma belcheri. The full-length cDNA consists of 3,087 bp with an ORF that encoded a predicted protein of 777 amino acid residues. The putative amphioxus IKK protein possesses the characteristic organization of the mammalian IKK proteins, which consists of a serine/threonine kinase domain, a leucine zipper motif and a putative helix-loop-helix motif. And the deduced amino acid of AmphiIKK shared 43.8-64.0 % similarity and 23.6-43.3 % identified with the IKKs from other species. Real-time PCR (RT-PCR) analysis indicated that AmphiIKK was ubiquitously expressed in all tissues and we also discovered that the expression of AmphiIKK was affected after lipopolysaccharides stimulation. Our findings help to highlight a potential important regulatory pathway in the innate immune response in the amphioxus and the evolution of the IKK family. ", Biochemistry & Molecular Biology 
10.1007/s11033-012-1978-0,p53 Codon 72 arginine/proline polymorphism and cancer in Sudan,"Abstract: The aim of this report is to determine frequencies and associations of p53 codon 72 arg/pro polymorphism with different types of cancer in Sudan. p53 codon72 arg/pro polymorphism distribution and allele frequencies in 264 samples of different types of cancers were investigated using PCR. The results were compared to 235 normal controls. The results indicated significant differences in frequency and genotype association between different types of cancers. Breast carcinoma patients most prominently showed excess of homozygous arg genotype as compared to controls with an Odd ratio (OR) of 19.44, 95 %CI: 6.6-78.3, P < 0.0001. Less prominently cervical cancer showed genotype effect of 2.4 OR, 95 %CI: 1.12-5.33, P = 0.015, while esophageal cancer had an OR of 0.57, 95 %CI: 0.23-1.42, P = 0.1. In Burkitt's lymphoma, however, in contrast the homozygous arg accounted for only 6.9 %, (OR 0.18, 95 %CI: 0.02-0.89, P = 0.018). We concluded that p53 arg/pro polymorphism has different pattern of frequency in different types of cancer among Sudanese patients, indicating perhaps different etiology and biology of these tumours. ", Biochemistry & Molecular Biology 
10.1016/j.ympev.2012.08.013,Phylogeny of halictine bees supports a shared origin of eusociality for Halictus and Lasioglossum (Apoidea: Anthophila: Halictidae),"Abstract: The halictid bees are excellent models for the study of social evolution because greater social diversity and plasticity are observed in the tribe Halictini than in any other comparable taxonomic group. We examine the evolutionary relationships within the subfamily Halictinae (""sweat bees"") to investigate the origins of social behaviour within the tribe Halictini. We present a new phylogeny of the subfamily Halictinae based on three nuclear genes (elongation factor-1 alpha, wingless, and long-wavelength rhodopsin) and one mitochondrial gene (cytochrome c oxidase 1) sequenced for 206 halictine bees. We use model-based character reconstruction to infer the probability of a shared eusocial ancestor for the genera Halictus and Lasioglossum, the two genera of Halictini which display eusociality. Our results suggest a high probability for a single origin of eusociality for these two genera, contradicting earlier views of separate origins within each taxon. Fossil-calibrated divergence estimates place this ancestor at approximately 35 million years ago, about 14 million years earlier than previous estimates of eusocial origins in the halictid bees. (C) 2012 Elsevier Inc. All rights reserved. ", Biochemistry & Molecular Biology; Evolutionary Biology; Genetics & Heredity 
10.1111/j.1364-3703.2012.00816.x,Pseudomonas savastanoi pv. savastanoi: some like it knot,"Abstract: Pseudomonas savastanoi pv. savastanoi is the causal agent of olive (Olea europaea) knot disease and an unorthodox member of the P.?syringae complex, causing aerial tumours instead of the foliar necroses and cankers characteristic of most members of this complex. Olive knot is present wherever olive is grown; although losses are difficult to assess, it is assumed that olive knot is one of the most important diseases of the olive crop. The last century witnessed a large number of scientific articles describing the biology, epidemiology and control of this pathogen. However, most P.?savastanoi pv. savastanoi strains are highly recalcitrant to genetic manipulation, which has effectively prevented the pathogen from benefitting from the scientific progress in molecular biology that has elevated the foliar pathogens of the P.?syringae complex to supermodels. A number of studies in recent years have made significant advances in the biology, ecology and genetics of P.?savastanoi pv. savastanoi, paving the way for the molecular dissection of its interaction with other nonpathogenic bacteria and their woody hosts. The selection of a genetically pliable model strain was soon followed by the development of rapid methods for virulence assessment with micropropagated olive plants and the analysis of cellular interactions with the plant host. The generation of a draft genome of strain NCPPB 3335 and the closed sequence of its three native plasmids has allowed for functional and comparative genomic analyses for the identification of its pathogenicity gene complement. This includes 34 putative type III effector genes and genomic regions, shared with other pathogens of woody hosts, which encode metabolic pathways associated with the degradation of lignin-derived compounds. Now, the time is right to explore the molecular basis of the P.?savastanoi pv. savastanoiolive interaction and to obtain insights into why some pathovars like it necrotic and why some like it knot. Synonyms Pseudomonas syringae pv. savastanoi. Taxonomy Kingdom Bacteria; Phylum Proteobacteria; Class Gammaproteobacteria; Family Pseudomonadaceae; Genus Pseudomonas; included in genomospecies 2 together with at least P.?amygdali, P.?ficuserectae, P.?meliae and 16 other pathovars from the P.?syringae complex (aesculi, ciccaronei, dendropanacis, eriobotryae, glycinea, hibisci, mellea, mori, myricae, phaseolicola, photiniae, sesami, tabaci, ulmi and certain strains of lachrymans and morsprunorum); when a formal proposal is made for the unification of these bacteria, the species name P.?amygdali would take priority over P.?savastanoi. Microbiological properties Gram-negative rods, 0.40.8?x?1.03.0?mu m, aerobic. Motile by one to four polar flagella, rather slow growing, optimal temperatures for growth of 2530?degrees C; oxidase negative, arginine dihydrolase negative; elicits the hypersensitive response on tobacco; most isolates are fluorescent and levan negative, although some isolates are nonfluorescent and levan positive. Host range P.?savastanoi pv. savastanoi causes tumours in cultivated and wild olive and ash (Fraxinus excelsior). Although strains from olive have been reported to infect oleander (Nerium oleander), this is generally not the case; however, strains of P.?savastanoi pv. nerii can infect olive. Pathovars fraxini and nerii are differentiated from pathovar savastanoi mostly in their host range, and were not formally recognized until 1996. Literature before about 1996 generally names strains of the three pathovars as P.?syringae ssp. savastanoi or P.?savastanoi ssp.

savastanoi, contributing to confusion on the host range and biological properties. Disease symptoms Symptoms of infected trees include hyperplastic growths (tumorous galls or knots) on the stems and branches of the host plant and, occasionally, on leaves and fruits. Epidemiology The pathogen can survive and multiply on aerial plant surfaces, as well as in knots, from where it can be dispersed by rain, wind, insects and human activities, entering the plant through wounds. Populations are very unevenly distributed in the plant, and suffer drastic fluctuations throughout the year, with maximum numbers of bacteria occurring during rainy and warm months. Populations of P.?savastanoi pv. savastanoi are normally associated with nonpathogenic bacteria, both epiphytically and endophytically, and have been demonstrated to form mutualistic consortia with Erwinia toletana and Pantoea agglomerans, which could result in increased bacterial populations and disease symptoms. Disease control Based on preventive measures, mostly sanitary and cultural practices. Integrated control programmes benefit from regular applications of copper formulations, which should be maintained for at least a few years for maximum benefit. Olive cultivars vary in their susceptibility to olive knot, but there are no known cultivars with full resistance to the pathogen. Useful websites http://www.pseudomonas-syringae.org/; http://genome.ppws.vt.edu/cgi-bin/MLST/home.pl; ASAP access to the P.?savastanoi pv. savastanoi NCPPB 3335 genome sequence https://asap.ahabs.wisc.edu/asap/logon.php. ", Plant Sciences 
10.1111/j.1467-789X.2012.01034.x,"Ethnic variability in adiposity, thrifty phenotypes and cardiometabolic risk: addressing the full range of ethnicity, including those of mixed ethnicity","Abstract: Ethnic groups vary in cardiometabolic risk, but the underlying mechanisms remain unclear. Several components of body composition variability (fat/lean ratio, fat distribution, lean mass composition and metabolism, and adipose tissue biology) are increasingly linked with cardiometabolic risk and vary substantially across ethnic groups. Constituents of lean mass are proposed to contribute to metabolic capacity, a generic trait favouring the maintenance of homeostasis. Adiposity is proposed to contribute to metabolic load, which at higher levels challenges metabolic homeostasis, elevating cardiometabolic risk. Ethnic differences in body composition, representing different load-capacity ratios, may therefore contribute to ethnic variability in cardiometabolic risk. Ecological and evolutionary factors potentially contributing to ethnic variability in body composition are explored. In contemporary populations, clinicians encounter an increasing range of ethnicity, along with many individuals of mixed-ethnic ancestry. Increasing understanding of the contribution of body composition to cardiometabolic risk may reduce the need to treat ethnic groups as qualitatively different. A conceptual model is proposed, treating insulin sensitivity and stroke risk as composite functions of body composition variables. Operationalizing this model may potentially improve the ability to assess cardiovascular risk across the full ethnicity spectrum, and to predict cardiometabolic consequences of excess weight gain. ", Endocrinology & Metabolism 
10.2478/s13545-012-0041-z,"Reproductive biology of the mediterranean green crab Carcinus aestuarii Nardo, 1847 (Crustacea, Brachyura, Portunidae) in Homa Lagoon, Aegean Sea, Turkey","Abstract: The Mediterranean green crab Carcinus aestuarii Nardo, 1847 (Crustacea, Brachyura, Portunidae) is a common inhabitant of the shallow waters of Homa Lagoon in Izmir Bay, Turkey, in the eastern Mediterranean. Monthly samples were collected in Homa Lagoon from June 2006 to May 2007 using trammel nets, fyke nets, beach seines and fence traps. In total, 608 males and 559 females of C. aestuarii were collected. The highest sex ratio (81-86% females) was recorded between October and December, and in August (58% females). Ovigerous females were obtained only from November to February with the highest ratio of ovigerous females (55%) observed in January 2007. The maturation curve presenting the carapace width showed that 50% of female crabs with the carapace width of 26.84 +/- 1.58 mm (r= 0.72) were physiologically mature. Regression analyses indicated that the number of eggs was positively correlated with carapace width and wet weight (P < 0.05, in both cases). ", Marine & Freshwater Biology; Oceanography 
10.1111/j.1365-3059.2012.02614.x,"Effect of electrical conductivity on survival of Phytophthora alni, P. kernoviae and P. ramorum in a simulated aquatic environment","Abstract: This study investigated survival of the pathogens Phytophthora ramorum, P. alni and P. kernoviae as zoospores or sporangia in response to an important water quality parameter, electrical conductivity (EC), at its range in irrigation water reservoirs and irrigated cropping systems. Experiments with different strengths of Hoaglands solution showed that all three pathogens survived at a broad range of EC levels for at least 3 days and were stimulated to grow and sporulate at ECs > 1.89 dS m-1. Recovery of initial populations after a 14-day exposure was over 20% for P. alni subsp. alni and P. kernoviae, and 61.3% and 130% for zoospores and sporangia of P. ramorum, respectively. Zoospore survival of these pathogens at ECs < 0.41 dS m-1 was poor, barely beyond 3 days in pure water; only 0.3% (P. alni), 2.9% (P. kernoviae) and 15.1% (P. ramorum) of the initial population survived after 14 days at EC = 0.21 dS m-1. The variation in rates of survival at different EC levels suggests that these pathogens survive better in cropping systems than in irrigation water. Containment of run-off and reduction in EC levels may therefore be non-chemical control options to reduce the risk of pathogen spread through natural waterways and irrigation systems. ", Agronomy; Plant Sciences 
10.1007/s00606-012-0685-6,Pollen morphology of Pachycereus weberi (Cactaceae): an evaluation of variation in pollen size,"Abstract: Pollen morphology within a single plant species has been regarded as a relatively constant trait; it has, thus, been used as a taxonomic character. Numerous palynological studies have described the morphology of pollen from Cactaceae and from other families of plants. There have, however, been few studies of the variation of pollen traits, especially variation of pollen size. Here, we describe the morphology of pollen grains from Pachycereus weberi, paying particular attention to variation of the diameter of the grains. We found that pollen grains from P. weberi are spheroidal, isopolar, and tricolpate, with microperforate and spinulate tectum and visible perine. Pollen diameter is highly variable. Our results show that pollen size must be used carefully as a taxonomic character. Further, we discuss the importance of sample size in descriptive studies of pollen and diverse meiotic abnormalities that may be implied by the high variation of pollen grain size for P. weberi. ", Plant Sciences; Evolutionary Biology 
10.1111/j.1365-3083.2012.02774.x,Rachycentron canadum (cobia) Lectin Promoted Mitogenic Response in Mice BALB/c Splenocytes,"Abstract: The mitogenic lectins are invaluable tools to study the biochemical changes associated with lymphocyte activation and proliferation of various immune cells. Rachycentron canadum lectin (RcaL) was detected and purified from serum of cobia fish. The aim of this study was to evaluate the proliferative response and cytokine production in splenocytes of mice in vitro stimulated with RcaL lectin; Canavalia ensiformis lectin (Con A) was used as positive control. A high proliferation index was induced by RcaL in relation to control cells. Furthermore, RcaL induced higher IL-2 and IL-6 production in relation to control. The cell viability was 90% in splenocytes treated with RcaL lectin, but RcaL promoted significant late apoptosis after 24 and 48 h in relation to control. RcaL induced proliferative responses suggesting that this lectin can be used as a mitogenic agent in immunostimulatory assays. ", Immunology 
10.1007/s12064-012-0156-1,"Evolutionary concepts meet the neck of penguins (Aves: Sphenisciformes), towards a ""survival strategy"" for evo-devo","Abstract: Evolutionary developmental biology (or evo-devo) is the scientific connectivity that allowed a more comprehensive and practical completeness in the contemporary conceptualisation of evolution. The links between genetics, developmental mechanics and evolution led to a better understanding of evolutionary mechanisms. An analysis of evolutionary concepts such as homology, homeoses, constraints, novelties, modularity, and selection is given through the recurring example of the variations identified in the modular repartition of the cervical vertebrae in extant and fossil penguins. The inclusion of this study about penguins in the evolutionary system also involves a reflection on the current state and the future of evo-devo. Three principles of assessment and method, applicable to many natural and conceptual scales, are introduced to define a ""survival strategy"" for evo-devo. The above-mentioned principles are intended to strengthen and continue the connectivity induced de facto. These current and future investigation challenges are discussed and connected to three main naturalist names related directly to the conceptualisation of evolution: Charles Darwin, Etienne Geoffroy Saint-Hilaire, and Lamarck. ", Biology; Mathematical & Computational Biology 
10.1007/s12064-012-0162-3,Measurement of mRNA abundance using RNA-seq data: RPKM measure is inconsistent among samples,"Abstract: Measures of RNA abundance are important for many areas of biology and often obtained from high-throughput RNA sequencing methods such as Illumina sequence data. These measures need to be normalized to remove technical biases inherent in the sequencing approach, most notably the length of the RNA species and the sequencing depth of a sample. These biases are corrected in the widely used reads per kilobase per million reads (RPKM) measure. Here, we argue that the intended meaning of RPKM is a measure of relative molar RNA concentration (rmc) and show that for each set of transcripts the average rmc is a constant, namely the inverse of the number of transcripts mapped. Further, we show that RPKM does not respect this invariance property and thus cannot be an accurate measure of rmc. We propose a slight modification of RPKM that eliminates this inconsistency and call it TPM for transcripts per million. TPM respects the average invariance and eliminates statistical biases inherent in the RPKM measure. ", Biology; Mathematical & Computational Biology 
10.1089/ten.tec.2012.0132,Developmental Cues for Bone Formation from Parathyroid Hormone and Parathyroid Hormone-Related Protein in an Ex Vivo Organotypic Culture System of Embryonic Chick Femora,"Abstract: Enhancement and application of our understanding of skeletal developmental biology is critical to developing tissue engineering approaches to bone repair. We propose that use of the developing embryonic femur as a model to further understand skeletogenesis, and the effects of key differentiation agents, will aid our understanding of the developing bone niche and inform bone reparation. We have used a three-dimensional organotypic culture system of embryonic chick femora to investigate the effects of two key skeletal differentiation agents, parathyroid hormone (PTH) and parathyroid hormone-related protein (PTHrP), on bone and cartilage development, using a combination of microcomputed tomography and histological analysis to assess tissue formation and structure, and cellular behavior.

Stimulation of embryonic day 11 (E11) organotypic femur cultures with PTH and PTHrP initiated osteogenesis. Bone formation was enhanced, with increased collagen I and STRO-1 expression, and cartilage was reduced, with decreased chondrocyte proliferation, collagen II expression, and glycosaminoglycan levels.

This study demonstrates the successful use of organotypic chick femur cultures as a model for bone development, evidenced by the ability of exogenous bioactive molecules to differentially modulate bone and cartilage formation. The organotypic model outlined provides a tool for analyzing key temporal stages of bone and cartilage development, providing a paradigm for translation of bone development to improve scaffolds and skeletal stem cell treatments for skeletal regenerative medicine. ", Cell & Tissue Engineering; Biotechnology & Applied Microbiology; Cell Biology 
10.1007/s11274-012-1138-7,Isolation of marine bacteria with antimicrobial activities from cultured and field-collected soft corals,"Abstract: Bacteria associated with eight field-collected and five cultured soft corals of Briareum sp., Sinularia sp., Sarcophyton sp., Nephtheidae sp., and Lobophytum sp. were screened for their abilities in producing antimicrobial metabolites. Field-collected coral samples were collected from Nanwan Bay in southern Taiwan. Cultured corals were collected from the cultivating tank at National Museum of Marine Biology and Aquarium. A total of 1,526 and 1,138 culturable, heterotrophic bacteria were isolated from wild and cultured corals, respectively; seawater requirement and antimicrobial activity were then assessed. There is no significant difference between the ratio of seawater-requiring bacteria on the wild and cultured corals. The ratio of antibiotic-producing bacteria within the seawater-requiring bacteria did not differ between the corals. Nineteen bacterial strains that showed high antimicrobial activity were selected for 16S rDNA sequencing. Three strains could be assigned at the family level (Rhodobacteraceae). The remaining 16 strains belong to eight genera: Marinobacterium (2 strains), Pseudoalteromonas (1), Vibrio (5), Enterovibrio (1), Tateyamaria (1), Labrenzia (2), and Pseudovibrio (4). The crude extract from bacteria strains CGH2XX was found to have high cytotoxicity against the cancer cell line HL-60 (IC50 = 0.94 mu g/ml) and CCRF-CEM (IC50 = 1.19 mu g/ml). Our results demonstrate that the marine bacteria from corals have great potential in the discovery of useful medical molecules. ", Biotechnology & Applied Microbiology 
10.1007/s11274-012-1146-7,The thalloid liverwort Plagiochasma rupestre supports arbuscular mycorrhiza-like symbiosis in vitro,"Abstract: In the present study, we obtained in vitro dual cultures between the liverwort Plagiochasma rupestre and two arbuscular mycorrhizal (AM) fungi: Glomus intraradices and Glomus clarum. Four agarized culture media were tested for optimal growth of P. rupestre. Also, a description of the symbiotic association is provided. Plagiochasma rupestre gametophytes profusely grew axenically in MM with sucrose, and thalli were successfully subcultured under these growth conditions. Arbuscular mycorrhizal fungal hyphae colonized P. rupestre thalli through rhizoids or by forming appresoria in the ventral thallus cells. Arbuscules, mycelia and structures resembling intrathallic spores or vesicles were developed in the internal parenchymatic cells. The pattern of AM colonization in P. rupestre was very similar to the Paris-type. After 100 days of dual culture, the external mycelia of both AM fungal strains formed thousands of small viable spores, suggesting that P. rupestre in vitro culture could be a valuable tool for studying the biology of both symbiotic partners and conserving AM fungi in in vitro germplasm collections. ", Biotechnology & Applied Microbiology 
10.1208/s12248-012-9385-y,"Absorption, Distribution, Metabolism, and Excretion (ADME) Studies of Biotherapeutics for Autoimmune and Inflammatory Conditions","Abstract: Biotherapeutics are becoming an increasingly common drug class used to treat autoimmune and other inflammatory conditions. Optimization of absorption, distribution, metabolism, and excretion (ADME) profiles of biotherapeutics is crucial for clinical, as well as commercial, success of these drugs. This review focuses on the common questions and challenges in ADME optimization of biotherapeutics for inflammatory conditions. For these immunomodulatory and/or immunosuppressive biotherapeutics, special consideration should be given to the assessment of the interdependency of ADME profiles, pharmacokinetic/pharmacodynamic (PK/PD) relationships, and immunogenicity profiles across various preclinical species and humans, including the interdependencies both in biology and in assay readouts. The context of usage, such as dosing regimens, extent of disease, concomitant medications, and drug product characteristics may have a direct or indirect (via modulation of immunogenicity) impact on ADME profiles of biotherapeutics. Along these lines, emerging topics include assessments of preexisting reactivity to a biotherapeutic agent, impact of immunogenicity on tissue exposure, and analysis of penetration to normal versus inflamed tissues. Because of the above complexities and interdependences, it is essential to interpret PK, PD, and anti-drug antibody results in an integrated manner. In addition, because of the competitive landscape in autoimmune and inflammatory markets, many pioneering ADME-centric protein engineering and subsequent in vivo testing (such as optimization of novel modalities to extend serum and tissue exposures and to improve bioavailability) are being conducted with biotherapeutics in this therapeutic area. However, the ultimate challenge is demonstration of the clinical relevance (or lack thereof) of modified ADME and immunogenicity profiles. ", Pharmacology & Pharmacy 
10.1134/S000368381107009X,Application of cell technologies for production of plant-derived bioactive substances of plant origin,"Abstract: Bioactive substances (BAS) of plant origin are known to play a very important role in modern medicine. Their use, however, is often limited by availability of plant resources and may jeopardize rare species of medicinal plants. Plant cell cultures can serve as a renewable source of valuable secondary metabolites. To the date, however, only few examples of their commercial use are known. The main reasons for such a situation are the insufficient production of secondary metabolites and high cultivation costs. It is possible to increase the performance of plant cell cultures by one or two orders of magnitude using traditional methods, such as selection of highly productive strains, optimization of the medium composition, elicitation, and addition of precursors of secondary metabolite biosynthesis. The progress in molecular biology methods brought about the advent of new means for increasing of the productivity of cell cultures based on the methods of metabolic engineering. Thus, overexpression of genes encoding the enzymes involved in the synthesis of the target product or, by contrast, repression of these genes significantly influences the cell biosynthetic capacity in vitro. Nevertheless, the attempts of the production of many secondary metabolites in plant cell culture were unsuccessful so far, probably due to the peculiarities of the cell culture as an artificial population of plant somatic cells. The use of plant organ culture or transformed roots (hairy root) could turn to be a considerably more efficient solution for this problem. The production of plant-derived secondary metabolites in yeast or bacteria transformed with plant genes is being studied currently. Although the attempts to use metabolic engineering methods were not particularly successful so far, new insights in biochemistry and physiology of secondary metabolism, particularly in regulation and compartmentation of secondary metabolite synthesis as well as mechanisms of their transport and storage make these approaches promising. ", Biotechnology & Applied Microbiology; Microbiology 
10.1016/j.bbcan.2012.05.001,Molecular and cellular biology of neuroendocrine lung tumors: Evidence for separate biological entities,"Abstract: Pulmonary neuroendocrine tumors (NETs) are traditionally described as comprising a spectrum of neoplasms, ranging from low grade typical carcinoids (TCs) via the intermediate grade atypical carcinoids (ACs) to the highly malignant small cell lung cancers (SCLCs) and large cell neuroendocrine carcinomas (LCNECs). Recent data, however, suggests that two categories can be distinguished on basis of molecular and clinical data, i.e. the high grade neuroendocrine (NE) carcinomas and the carcinoid tumors.

Bronchial carcinoids and SCLCs may originate from the same pulmonary NE precursor cells, but a precursor lesion has only been observed in association with carcinoids, termed diffuse idiopathic pulmonary neuroendocrine cell hyperplasia. The occurrence of mixed tumors exclusively comprising high grade NE carcinomas also supports a different carcinogenesis for these two groups. Histopathologically, high grade NE lung tumors are characterized by high mitotic and proliferative indices, while carcinoids are defined by maximally 10 mitoses per 2 mm(2) (10 high-power fields) and rarely have Ki67-proliferative indices over 10%. High grade NE carcinomas are chemosensitive tumors, although they usually relapse. Surgery is often not an option due to extensive disease at presentation and early metastasis, especially in SCLC. Conversely, carcinoids are often insensitive to chemo- and radiation therapy, but cure can usually be achieved by surgery.

A meta-analysis of comparative genomic hybridization studies performed for this review, as well as gene expression profiling data indicates separate clustering of carcinoids and carcinomas. Chromosomal aberrations are much more frequent in carcinomas, except for deletion of 11q, which is involved in the whole spectrum of NE lung tumors. Deletions of chromosome 3p are rare in carcinoids but are a hallmark of the high grade pulmonary NE carcinomas. On the contrary, mutations of the multiple endocrine neoplasia type 1 (MEN1) gene are restricted to carcinoid tumors.

Many of the differences between carcinoids and high grade lung NETs can be ascribed to tobacco consumption, which is strongly linked to the occurrence of high grade NE carcinomas. Smoking causes p53 mutations, very frequently present in SCLCs and LCNECs, but rarely in carcinoids. It further results in other early genetic events in SCLCs and LCNECs, such as 3p and 17p deletions. Smoking induces downregulation of E-cadherin and associated epithelial to mesenchymal transition. Also, high grade lung NETs display higher frequencies of aberrations of the Rb pathway, and of the intrinsic and extrinsic apoptotic routes. Carcinoid biology on the other hand is not depending on cigarette smoke intake but rather characterized by aberrations of other specific genetic events, probably including Menin or its targets and interaction partners. This results in a gradual evolution, most likely from proliferating pulmonary NE cells via hyperplasia and tumorlets towards classical carcinoid tumors.

We conclude that carcinoids and high grade NE lung carcinomas are separate biological entities and do not comprise one spectrum of pulmonary NETs. This implies the need to reconsider both diagnostic as well as therapeutic approaches for these different groups of malignancies. (c) 2012 Elsevier B.V. All rights reserved. ", Biochemistry & Molecular Biology; Biophysics; Oncology 
10.1016/j.bbcan.2012.04.008,The biological kinship of hypoxia with CSC and EMT and their relationship with deregulated expression of miRNAs and tumor aggressiveness,"Abstract: Hypoxia is one of the fundamental biological phenomena that are intricately associated with the development and aggressiveness of a variety of solid tumors. Hypoxia-inducible factors (HIF) function as a master transcription factor, which regulates hypoxia responsive genes and has been recognized to play critical roles in tumor invasion, metastasis, and chemo-radiation resistance, and contributes to increased cell proliferation, survival, angiogenesis and metastasis. Therefore, tumor hypoxia with deregulated expression of HIF and its biological consequence lead to poor prognosis of patients diagnosed with solid tumors, resulting in higher mortality, suggesting that understanding of the molecular relationship of hypoxia with other cellular features of tumor aggressiveness would be invaluable for developing newer targeted therapy for solid tumors. It has been well recognized that cancer stem cells (CSCs) and epithelial-to-mesenchymal transition (EMT) phenotypic cells are associated with therapeutic resistance and contribute to aggressive tumor growth, invasion, metastasis and believed to be the cause of tumor recurrence. Interestingly, hypoxia and HIF signaling pathway are known to play an important role in the regulation and sustenance of CSCs and EMT phenotype. However, the molecular relationship between HIF signaling pathway with the biology of CSCs and EMT remains unclear although NF-kappa B, PI3K/Akt/mTOR, Notch, Wnt/beta-catenin, and Hedgehog signaling pathways have been recognized as important regulators of CSCs and EMT. In this article, we will discuss the state of our knowledge on the role of HIF-hypoxia signaling pathway and its kinship with CSCs and EMT within the tumor microenvironment. We will also discuss the potential role of hypoxia-induced microRNAs (miRNAs) in tumor development and aggressiveness, and finally discuss the potential effects of nutraceuticals on the biology of CSCs and EMT in the context of tumor hypoxia. (c) 2012 Elsevier B.V. All rights reserved. ", Biochemistry & Molecular Biology; Biophysics; Oncology 
10.1016/j.bbcan.2012.06.001,Role of BAG3 protein in leukemia cell survival and response to therapy,"Abstract: The ability of BAG3, a member of the BAG family of heat shock protein (Hsp) 70 - cochaperones, to sustain the survival of human primary B-CLL and ALL cells was recognized about nine years ago. Since then, the anti-apoptotic activity of BAG3 has been confirmed in other tumor types, where it has been shown to regulate the intracellular concentration and localization of apoptosis-regulating factors, including NF-kappa B-activating (IKK gamma) and Bcl2-family (Bax) proteins. Furthermore, growing evidences support its role in lymphoid and myeloid leukemia response to therapy. Moreover in the last years, the contribution of BAG3 to autophagy, a process known to be involved in the pathogenesis and response to therapy of leukemia cells, has been disclosed, opening a new avenue for the interpretation of the role of this protein in leukemias' biology. (C) 2012 Elsevier B.V. All rights reserved. ", Biochemistry & Molecular Biology; Biophysics; Oncology 
10.1016/j.bbcan.2012.06.003,"Ascorbic acid: Chemistry, biology and the treatment of cancer","Abstract: Since the discovery of vitamin C, the number of its known biological functions is continually expanding. Both the names ascorbic acid and vitamin C reflect its antiscorbutic properties due to its role in the synthesis of collagen in connective tissues. Ascorbate acts as an electron-donor keeping iron in the ferrous state thereby maintaining the full activity of collagen hydroxylases; parallel reactions with a variety of dioxygenases affect the expression of a wide array of genes, for example via the HIF system, as well as via the epigenetic landscape of cells and tissues. In fact, all known physiological and biochemical functions of ascorbate are due to its action as an electron donor. The ability to donate one or two electrons makes AscH(-) an excellent reducing agent and antioxidant. Ascorbate readily undergoes pH-dependent autoxidation producing hydrogen peroxide (H2O2). In the presence of catalytic metals this oxidation is accelerated. In this review, we show that the chemical and biochemical nature of ascorbate contribute to its antioxidant as well as its prooxidant properties. Recent pharmacokinetic data indicate that intravenous (i.v.) administration of ascorbate bypasses the tight control of the gut producing highly elevated plasma levels; ascorbate at very high levels can act as prodrug to deliver a significant flux of H2O2 to tumors. This new knowledge has rekindled interest and spurred new research into the clinical potential of pharmacological ascorbate. Knowledge and understanding of the mechanisms of action of pharmacological ascorbate bring a rationale to its use to treat disease especially the use of i.v. delivery of pharmacological ascorbate as an adjuvant in the treatment of cancer. Published by Elsevier B.V. ", Biochemistry & Molecular Biology; Biophysics; Oncology 
10.2478/s11756-012-0111-0,Estimating effects of global warming from past range changes for cold demanding refugial taxa: A case study on South-west Anatolian species Poecilimon birandi,"Abstract: Although changes in biodiversity and in ecosystems are surely caused by a range of interacting drivers, such as natural or human-induced factors, one of the important drivers having major impacts on climate and biodiversity and leading to range changes and fragmentation is global warming. Defining past range changes/fragmentations during interglacial periods may provide tools to understand possible impacts of global warming on present biodiversity. To test this assumption we studied a marker gene in the bush-cricket Poecilimon birandi, a species confined to South-west Anatolia that demands a cold climate. Haplotypes of P. birandi constituted three main phylogroups,West, East and Demre. All haplotypes are unique to the respective phylogroup. An AMOVA suggested considerable divergence at all hierarchical levels. Though there is a strong isolation between phylogroups, the East and West groups harbour considerable haplotype diversity. Most of the demographic analyses suggest stable historical populations for the West and East phylogroups, but a coalescent-based demographic analysis indicates a bottleneck for the West phylogroup. The main conclusions are; (i) P. birandi contains considerable phylogenetic signal in 16S rDNA, (ii) there were at least three contemporaneous radiations, which might have originated from isolated refugial populations during Pleistocene, (iii) within a refugium, range changes induced by climatic shifts may be only vertical through an altitudinal gradient, (iv) significant genetic structure can arise in a small heterogeneous area, if the species requires particular habitats and has weak dispersal ability, (v) climatic shifts may cause fragmentation or extinction of populations, but can also lead to divergence of populations suffering from fragmentation, and (vi) altitudinal heterogeneity plays a buffering role, allowing for survival of the refugial biodiversity. ", Biology 
